publisher,year_published
Computers and Industrial Engineering,2012
European Economic Review,2015
IIE Transactions of Industrial,2008
International Journal of Supply Chain Management,2019
Business Process Management Journal,2004
International Journal of Applied Management Science,2020
Espacios,2017
Industrial Marketing Management,2019
International Journal of Production Economics,2007
Journal of Modelling in Management,2016
Procedia Computer Science,2020
Academy of Management Proceedings,2019
Journal of Engineering and Applied Sciences,2016
Management and Accounting Review,2019
Production Planning and Control,2021
Independent Journal of Management Production,2015
International Journal of Operations and Production Management,2016
Material Handling Logistics,2017
Global Business Management Research,2009
Journal of Strategic Information Systems,2011
Journal of Applied Business Research,2014
Food Policy,2019
Logistics,2019
Journal of Manufacturing Technology Management,2010
International Conference on Operations and Supply Chain Vietnam,2019
International Journal of Electronic Commerce,2004
International Journal of Production Economics,2021
Twente Student Conference on,2007
Journal of Economic and Social Studies,2011
OPSEARCH,2020
Omega,2018
Supply Chain Management,2020
Industrial Management and Data Systems,2006
International Business Management,2013
Information Technology Journal,2009
Asian Academy of Management Journal,2008
International Journal of Physical Distribution Logistics Management,2006
Journal of Operational Research,2016
Journal of Manufacturing Technology Management,2020
Sustainability,2018
International Journal of Supply Chain Management,2017
Sustainability,2016
International Journal of RF Research and Applications,2016
International Journal of Physical Distribution and Logistics Management,2019
International Journal of Production Research,2014
California Management Review,2016
International Journal of Supply Chain Management,2019
European Journal of Operational Research,2004
Resource and Energy Economics,2017
Mathematical Problems in Engineering,2018
Industrial IE,2017
International Journal of Value Chain Management,2007
Journal of Cleaner Production,2019
International Journal of Research,2011
Industrial Management,2001
Agro Food Industry,2017
Robotics and Manufacturing,2020
Proceedings of Chinese Control and Decision Conference,2006
Britain International of Exact Sciences Journal,2020
IEEE Transactions on Engineering Management,2020
CYBERNOMICS,2019
Supply Chain Management Review,2018
Benchmarking,2018
International Journal of Creativity and Change,2019
International Journal of Production Economics,2019
The International Journal of Logistics Management,2003
Industrial Management and Data Systems,2020
Supply Chain Management,2008
Computers in Industry,2014
Benchmarking,2014
Journal of Intelligent and Fuzzy Systems,2018
Computers and Industrial Engineering,2019
International Journal of Production Research,2020
Xitong Gongcheng Lilun yu Engineering Theory and Practice,2007
International Journal of Pure and Applied Mathematics,2018
European Journal of Operational Research,2020
International Journal of Contemporary Hospitality Management,2018
International Journal of Production Economics,2017
Operations Research Perspectives,2019
Cogent Business and Management,2019
Procedia Food Science,2011
Journal of Cleaner Production,2020
Applied Sciences,2020
Omega,2015
Journal of Management Research and Innovation,2014
DEStech Transactions on Energy and Earth Sciences,2017
Journal of Cleaner Production,2019
Pacific Asia Journal of the Association for Information Systems,2018
IEEE Access,2019
EDPACS,2019
Sustainability,2020
Journal of Modelling in Management,2016
International Journal of Supply Chain Management,2019
Annals of Operations Research,2020
Uncertain Supply Chain Management,2020
Journal of Islamic Accounting and Business Research,2020
Global Journal of Flexible Systems Management,2016
Technological Forecasting and Social Change,2020
International Journal of Business Innovation and Research,2020
European Journal of Operational Research,2018
Sustainability,2018
Eurasip Journal on Wireless Communications and Networking,2020
South African Journal of Business Management,2016
Business Process Management Journal,2012
Technological Forecasting and Social Change,2014
Information Systems Management,2018
Future Generation Computer Systems,2018
Technology Innovation Management Review,2015
International Journal of Production Economics,2019
Supply Chain Management,2019
Uncertain Supply Chain Management,2020
International Journal of Technology Management and Sustainable Development,2016
International Journal of Business Performance and Supply Chain Modelling,2015
Electronics,2019
Journal of Theoretical and Applied Electronic Commerce Research,2008
International Journal of Physical Distribution and Logistics Management,2000
Gestao e Producao,2020
Sustainability,2019
Information and Management,2003
Journal of Organizational Computing and Electronic Commerce,2020
Journal of Scientific Innovation in Medicine,2019
International Journal of Quality Innovation,2015
International Journal of Research,2011
International Journal of Logistics Management,2015
Computers and Operations Research,2014
International Journal of Production Research,2007
Civil Aviation High Technologies,2020
IJCEM International Journal of Computational Engineering Management ISSN,2012
International Journal of Economic Practices Theories,2015
Journal of Cleaner Production,2018
SSRN Electronic Journal,2019
Ipsera,2017
Cuadernos de Economia y Direccion de la Empresa,2012
EXCLI Journal,2013
Acta Polytechnica Hungarica,2015
International Journal of Research in IT,2014
International Journal of Supply Chain Management,2016
Comprehensive Analytical Chemistry,2016
International Journal of Production Economics,2014
International Food and Agribusiness Management Review,2018
Logforum,2020
International Journal of Business and Management,2017
Applied Sciences,2019
International Journal of Information Technology and Management,2009
Conservation and Recycling,2019
Journal of Health Management,2016
Vaccine,2016
Procedia Manufacturing,2015
International Journal of Production Research,2020
Omega,2016
Information Resources Management Journal,2011
Supply Chain Management,2020
Decision Support Systems,2006
Journal of Operations Management,2007
Procedia Manufacturing,2015
Association of Researchers in Construction Management,2001
International Journal of Logistics Management,2018
Icis,2003
Human Systems Management,2005
International Journal of Pharmaceutics,2017
Advanced Functional Materials,2021
Journal of Industrial Engineering International,2019
McKinsey Company Operations Extranet,2017
International Journal of Electronic Business Management,2014
Sustainability,2019
Conservation and Recycling,2020
Decision Sciences,2015
Industrial Management and Data Systems,2000
Production Planning and Control,2015
Journal of Civil Engineering and Management,2017
Industrial Marketing Management,2020
International Journal of Advanced Trends in Computer Science and Engineering,2020
Neural Computing and Applications,2020
Procedia Environmental Sciences,2016
Biomass and Bioenergy,2015
Journal of Cleaner Production,2019
IEEE Engineering Management Review,2020
International Journal of Creativity and Change,2020
Global Business Review,2016
American Journal of Agricultural Economics,2000
Technological Forecasting and Social Change,2016
International Journal of Supply Chain Management,2020
UF IFAS Extension EDIS,2015
Interdisciplinary journal of contemporary research in business,2012
African Journal of Business Management,2014
Journal of Health Management,2016
International Journal of Production Economics,2020
Journal of Cleaner Production,2017
Supply Chain Management,2002
Xitong Gongcheng Lilun yu Engineering Theory and Practice,2014
Foodservice and Lodging Management,2009
International Journal of Sustainable Economy,2010
European Research on Management and Business Economics,2016
Production Planning and Control,2020
IBM Research,2017
International Journal of Network and Mobile Technologies,2010
Journal of Global Strategic Management,2011
DEStech Transactions on Social Education and Human Science,2020
Human Systems Management,2008
Journal of Cleaner Production,2018
Supply Chain Management,2019
Omega,2014
Jisuanji Jicheng Zhizao Integrated Manufacturing CIMS,2017
Journal of Manufacturing Technology Management,2017
Applied Sciences,2019
Computers and Industrial Engineering,2019
International Journal of Food Engineering,2020
International Journal of Production Economics,2012
Advance Journal of Food Science and Technology,2015
Journal of Cleaner Production,2018
Technology Reports of Kansai University,2018
Industrial Management and Data Systems,2020
Supply Chain Management,2012
Uncertain Supply Chain Management,2020
Journal of Operations Management,2013
International Journal of Operations and Production Management,2016
Journal of Purchasing and Supply Management,2019
Logistics Transport Focus,2015
Supply Chain An International Journal,2005
Journal of Operations Management,1999
Journal of Organizational Computing and Electronic Commerce,2011
Intel Technology Journal,2005
Business Strategy and the Environment,2020
International Journal of Electronic Business Management,2014
Conservation and Recycling,2020
Technology in Society,2020
Journal of Cleaner Production,2019
International Journal of Integrated Supply Management,2007
Journal of Emerging Technologies in Accounting,2007
Information and Management,2015
Journal of Business and Industrial Marketing,2005
International Journal of Production Economics,2018
International Supply Chain Technology Journal,2016
Journal of Islamic Marketing,2015
Journal of Small Business Management,2017
International Journal of Creativity and Change,2019
International Journal of Creativity and Change,2019
World Academy of Engineering and Technology,2010
International Journal of Distributed Sensor Networks,2019
Technology Innovation Management Review,2015
Journal of Shipping and Trade,2017
Johnson Matthey Technology Review,2019
Journal of Transnational Management,2005
IEEE Transactions on Engineering Management,2018
Journal of Cleaner Production,2020
Service Industries Journal,2019
Tumu Gongcheng Civil Engineering Journal,2015
International Journal of Forecasting,2019
Future,2019
JURTEKSI Teknologi dan Sistem,2018
Decision Sciences,2006
Journal of Technology Management and Innovation,2009
International Journal of Business Information Systems,2019
Business Process Management Journal,2020
EUROMA Conference,2018
Journal of Cleaner Production,2021
International Journal on Emerging Technologies,2020
Healthcare informatics the business magazine for information and communication systems,2013
Tien Tzu Hsueh Electronica Sinica,2010
International Journal of Management and Sustainability,2020
Compliance Week,2015
Independent Journal of Management Production,2020
Journal of Information Technology Management,2017
IBM Journal of Research and Development,2019
Computers and Industrial Engineering,2019
Cybersecurity,2019
Supply Chain Management,2004
Journal of Food Science,2017
Indian Journal of Science and Technology,2016
Revista de la Facultad de Agronomia,2019
Food Policy,2019
Operations and Supply Chain An International Journal,2014
International Journal of Physical Distribution and Logistics Management,2019
International Journal of Production Research,2020
Journal of Manufacturing Technology Management,2016
South East Asia Journal of,2018
Comprehensive Reviews in Food Science and Food Safety,2016
Global Journal of Social Sciences,2018
Journal of Cleaner Production,2015
Benchmarking,2015
IEEE Access,2019
Advanced Engineering Informatics,2017
Australian Journal of Basic and Applied Sciences,2011
Journal of Computational and Applied Mathematics,2020
Information,2019
Mathematical Problems in Engineering,2019
International Journal of Production Economics,2020
International Journal of Supply Chain Management,2020
Journal of Purchasing and Supply Management,2016
International Journal of Supply Chain Management,2014
Journal of Management Information and Decision Science,2018
Journal of Business Ethics,2013
Logistics Research,2011
Logistics and A Challenge for the Mediterranean,2014
International Journal of Production Research,2018
International Journal of Productivity and Performance Management,2018
World Academy of Engineering and Technology,2010
Decision Support Systems,2013
JURTEKSI Teknologi dan Sistem,2018
Telematics and Informatics,2017
Technological Forecasting and Social Change,2018
Technological Forecasting and Social Change,2004
European Business Review,2007
International Journal of Production Research,2019
Business Process Management Journal,2019
Expert Systems with Applications,2010
International Journal of Production Research,2011
Food Logistics,2017
European Journal of Operational Research,2018
Journal of Engineering and Applied Sciences,2017
Journal of Supercomputing,2020
Production Planning and Control,2015
Logforum,2020
International Journal of Logistics Research and Applications,2018
Journal of Service Management,2020
ProQuest Dissertations and Theses,2010
Integrated Manufacturing Systems,1997
Journal of Supply Chain and Operations Management,2012
IBM Journal of Research and Development,2014
Perspectives in health information management,2016
Bioethanol,2014
Gestao e Producao,2013
International Journal of Production Economics,2014
Applied Sciences,2020
Journal of Coastal Research,2019
Production Planning and Control,2020
International Journal of Services Operations and Informatics,2007
International Journal of Production Economics,2008
Air Force Journal of Logistics,2007
International Journal of Production Research,2005
Brill Open Law,2019
Agriecobis Journal of Agricultural Socioeconomics and Business,2018
Jisuanji Jicheng Zhizao Integrated Manufacturing CIMS,2005
International Journal of Operations and Production Management,2012
Production Planning and Control,2019
Early Childhood Matters,2014
Journal of Cleaner Production,2020
Journal of Operations Management,2007
Nordic and Baltic Journal of Information and Communications Technologies,2020
SSRN Electronic Journal,2017
Sustainability,2019
International Journal of Production Research,2020
Transportation Research Part Logistics and Transportation Review,2019
International Journal of Business Performance and Supply Chain Modelling,2018
Technovation,2014
Modern Healthcare,2017
International Supply Chain technology Journal,2016
Journal of Software Engineering and Applications,2016
Healthcare Purchasing News,2017
Conservation and Recycling,2019
Journal of Cleaner Production,2020
Modern Supply Chain Research and Applications,2020
International Journal of Logistics Management,2018
Energy Policy,2015
Journal of China Universities of Posts and Telecommunications,2007
Transport Problems,2017
California Management Review,2007
Manufacturing and Service Operations Management,2019
Advanced Science Letters,2012
Food Control,2021
SSRN Electronic Journal,2017
International Journal of Logistics Research and Applications,2008
The International Journal of Logistics Management,2017
Center,2003
International Journal of Advanced Manufacturing Technology,2012
International Journal of Supply Chain Management,2019
International Supply Chain Technology Journal,2016
California Journal of Operations Management,2010
Nature Reviews Earth Environment,2020
ECS Transactions,2019
International Journal of Supply Chain Management,2017
Research Journal of Applied Engineering and Technology,2013
African Journal of Innovation and Development,2020
International Journal of Supply Chain Management,2020
European Journal of Operational Research,2018
Production and Operations Management,2018
IEEE Access,2019
it Information Technology,2018
International Journal of Economics and Management,2014
JOURNAL OF MECHANICS OF CONTINUA AND MATHEMATICAL SCIENCES,2019
Journal of Pharmaceutical Policy and Practice,2019
International Agricultural Engineering Journal,2019
International Journal of Production Research,2020
Sustainability,2020
Journal of Cleaner Production,2017
Production Planning and Control,2012
International Journal of Manufacturing Technology and Management,2010
Communications of the ACM,2001
International Journal of Production Research,2012
International Journal of Supply Chain Management,2019
International Journal of Production Research,2010
Journal of Hospital Administration,2017
Supply Chain Management,2019
International Journal of Computer Applications,2018
Industrial Engineering and Management Systems,2019
South African Journal of Business Management,2017
Journal of Management Information Systems,2004
Wharton University of Pennsylvania,2019
Journal of Cleaner Production,2020
Journal of Food Engineering,2019
Material Handling Logistics,2017
An International Journal,2019
Journal of Business Economics Research,2011
Journal of Procurement Supply Chain,2017
Ecological Economics,2017
Journal of Testing and Evaluation,2016
Food Policy,2019
Mediterranean Journal of Social Sciences,2014
Sustainability,2018
XIMB Journal of Managment,2015
The International Journal of Logistics Management,2005
Enterprise Information Systems,2020
Information,2019
Work Study,2003
Journal of Cleaner Production,2018
RAE Revista de Administracao de Empresas,2019
The IUP Journal of Supply Chain Management,2012
Food Logistics,2015
Acta Commercii,2017
Journal of Operations Management,2007
ARPN Journal of Engineering and Applied Sciences,2016
International Journal of Production Economics,2019
IEEE Access,2017
European Business Management,2017
IEEE Access,2020
International Journal of Scientific and Technology Research,2020
Sustainable Materials and Technologies,2016
International Journal of Engineering Technology,2018
The Journal of Business Forecasting,2020
Business Strategy and the Environment,2008
Intel Technology Journal,2007
Management Science Letters,2013
Journal of Operational Research,2018
Journal of Ubiquitous Systems Pervasive Networks,2021
IEEE Transactions on Engineering Management,2007
Clean Technologies and Environmental Policy,2020
American Journal of Pharmacy,2017
Oeconomia Copernicana,2019
International Journal of Applied Engineering Research,2015
Information and Management,2016
Cancer Gene Therapy,2020
Food Control,2020
Service Industries Journal,2012
Gestao e Producao,2007
Journal of Management Research,2016
Annals of Operations Research,2020
Applied Sciences,2019
Sustainability,2019
CYFROWE INNOWACJE W ZARZĄDZANIU ŁAŃCUCHEM,2019
Production Planning and Control,2020
Nongye Jixie of the Chinese Society for Agricultural Machinery,2014
International Journal of Research in Economics and Commerce,2016
International Journal of Production Research,2019
Journal of Business Logistics,2005
Renewable and Sustainable Energy Reviews,2020
International Journal of Supply Chain Management,2020
Jurnal Rekayasa Sistem Industri,2018
Complexity,2020
Journal of Cleaner Production,2008
Research in Transportation Business and Management,2018
Jurnal Perencanaan The Indonesian Journal of Development Planning,2018
Journal of Modelling in Management,2019
Procedia Economics and Finance,2015
Communications of the ACM,2007
Food Policy,2020
AFRICAN JOURNAL OF BUSINESS MANAGEMENT,2012
Sustainability,2019
ACS Sustainable Chemistry and Engineering,2020
Manajemen Usahawan Indonesia,2010
Hospital Materiel Management Quarterly,2000
Production and Operations Management,2007
Technology Innovation Management Review,2015
Material Handling Logistics,2015
Vaccine,2015
Supply Chain Management,2013
Sustainability,2017
Global Journal of Flexible Systems Management,2020
International Journal of Production Research,2020
International Journal of Creativity and Change,2019
Acta Technica Jaurinensis,2018
Transport Reviews,2002
The Electronic Journal Information Systems Evaluation,2017
International Journal of Operations and Production Management,2017
International Journal of Academic Research in Business and Social Sciences,2016
Espacios,2019
Transport Problems,2013
Food Control,2020
Production Planning and Control,2017
International Journal of Business Information Systems,2012
International Journal of Supply Chain Management,2020
International Journal of Production Economics,2020
International Journal of Engineering Research and Technology,2013
Sumedha Journal of Management,2019
Transportation Journal,2001
International Journal of Supply Chain and Operations Resilience,2020
Journal of Marine Science and Engineering,2020
International Journal of Physical Distribution and Logistics Management,2004
SSRN Electronic Journal,2018
Statistics,2000
Computer Communications,2020
Journal of Information Technology Management,2019
International Journal of Production Research,2020
Journal of Enterprise Information Management,2020
American Journal of Industrial and Business Management,2015
Journal of Parallel and Distributed Computing,2020
Computers and Industrial Engineering,2019
Uncertain Supply Chain Management,2020
Business Strategy Series,2010
Acta Technica Jaurinensis,2018
Cogent Engineering,2016
Journal of Food Engineering,2005
Sustainability,2018
Manufacturing Service Operations Management,2008
Omega,2005
Journal of Cleaner Production,2013
Logistics Transport Focus,2011
Journal of Research in International Business and Management,2018
International Journal of Business Analytics,2015
Supply Chain Risk Resilience and Supplier Management,2019
Journal of Environmental Protection and Ecology,2019
One Earth,2020
Innovation Management Review,2018
Journal of Knowledge Management,2014
Cluster Computing,2019
American Journal of Economics and Business Administration,2015
International Journal of Production Research,2018
International Journal of Production Economics,2015
International Journal of Hospitality Management,2005
European Journal of Purchasing and Supply Management,1996
Industrial Management and Data Systems,2020
The Electronic Journal Information Systems Evaluation,2017
International Journal of Production Research,2019
Supply Chain Management,2014
International Journal of Research in IT Management,2014
Nature Sustainability,2020
Industrial Management and Data Systems,2014
Finance Research Letters,2020
Industrial Management and Data Systems,2020
Benchmarking,2015
International Journal of Technology Management,2004
European Management Journal,2003
American Journal of Industrial and Business Management,2018
Journal of Marketing,2010
International Journal of Systems Operations and Logistics,2020
International Journal of Information Technology and Management,2010
Applied Sciences,2020
International Journal of Supply Chain Management,2016
PLoS ONE,2015
Journal of Strategic Innovation and Sustainability,2010
International Journal of Productivity and Quality Management,2020
Materials Today Energy,2019
IEEE Access,2018
Journal of Cleaner Production,2017
Civil and Infrastructure Engineering,2017
Journal of Theoretical and Applied Electronic Commerce Research,2010
Chemical Engineering Science,2019
International Journal of Supply Chain Management,2019
Journal of Purchasing and Supply Management,2019
International Journal of Operations and Production Management,2006
International Journal of Information Management,2020
Logforum,2019
Industrial Management and Data Systems,2017
International Journal of Value Chain Management,2019
Open Engineering,2016
Revista de la Facultad de Ingenieria,2017
Energies,2020
Sustainability,2018
International Journal of Business and Social Science,2012
International Journal of Management and Sustainability,2020
Applied Sciences,2018
Transportation Research Part Logistics and Transportation Review,2019
International Journal of Production Research,2019
Management International Review,2011
Journal of Open and Complexity,2019
Asian Journal of Shipping and Logistics,2016
International Journal of Operations and Production Management,2004
International Journal of Blockchains and Cryptocurrencies,2019
Journal of Industrial Ecology,2017
International Journal of Logistics Research and Applications,2020
International Journal of Industrial Engineering Computations,2014
International Journal of Engineering and Advanced Technology,2019
Sustainability,2020
Conservation and Recycling,2018
New Horizons in Adult Education and Human Resource Development,2019
Journal of Manufacturing Technology Management,2016
International Journal of Production Research,2020
International Journal of Supply Chain Management,2013
Journal of Cleaner Production,2018
Scientia Iranica,2012
IEEE Access,2020
European Journal of Management and Business Economics,2019
Journal of Engineering and Technology Management,2008
International Journal of Information Management,2020
International Food and Agribusiness Management Review,2020
Nongye Jixie of the Chinese Society for Agricultural Machinery,2020
MATEC Web of Conferences,2019
Journal of Legal Pluralism and Unofficial Law,2016
Proceedings of the National Academy of Sciences of the United States of America,2019
Operations Management Research,2009
Electronics,2020
Management Decision,2011
Journal of Cleaner Production,2020
IEEE Access,2019
Journal of Manufacturing Technology Management,2010
International Journal Of Engineering And Computer Science,2017
Frontiers in Blockchain,2020
Journal of Modelling in Management,2020
Contemporary Logistics,2011
Global Business and Organizational Excellence,2014
International Journal of Production Research,2017
Management Science Letters,2018
International Journal of Production Research,2020
International Journal of Production Economics,2020
International Journal of Advanced Trends in Computer Science and Engineering,2020
International Journal of Supply Chain Management,2017
Technovation,2014
Computers and Industrial Engineering,2020
Utilities Policy,2020
International Journal of Logistics Management,2018
Supply Chain Management Review,2017
International Business Research,2018
International Journal of Supply Chain Management,2019
Proceedings for the Northeast Region Decision Sciences Institute,2008
Wireless Personal Communications,2020
Sustainable Energy Technologies and Assessments,2020
Walailak Journal of Science and Technology,2019
Supply Chain Management,2017
Production Planning and Control,2007
Computers and Chemical Engineering,2017
Uncertain Supply Chain Management,2019
Annals of Operations Research,2020
International Journal of Marketing Studies,2014
Quality Access to Success,2020
International Journal on Food System Dynamics,2016
Acta Technica CSAV Akademie,2016
International Journal of Engineering Research in Computer Science and Engineering,2018
International Conference of System Dynamics Society,2014
Supply Chain Management Review,2012
International Journal of Supply Chain Management,2020
International Food and Agribusiness Management Review,2016
Journal of Enterprise Information Management,2005
OECD Global and Integrity Forum,2017
Sustainability,2018
Life Science Journal,2012
Waste Management,2017
Journal of Business Industrial Marketing,1999
Electronic Commerce Research and Applications,2008
Chemical Engineering Transactions,2018
Jurnal Teknologi,2014
Proceedings of the National Conference on Emerging Trends in Business and Issues and March,2016
Journal of Supply Chain Management,2010
Industrial Marketing Management,2003
IEEE Transactions on Engineering Management,2020
Sustainability,2019
International Journal of Business and Technology Management,2019
Sensors,2017
Journal of Systems and Information Technology,2010
Chemical Engineering Research and Design,2018
Future Technologies Conference,2017
International Journal of Research in Engineering and Technology,2016
Revista Ingeniería Biomédica,2017
Proceedings of the Hamburg International Conference of Logistics,2017
International Journal of Health Care Quality Assurance,2009
Business Strategy and the Environment,2020
Frontiers of Engineering Management,2017
Sustainability,2020
Sustainability,2019
International Journal of Logistics Systems and Management,2019
Advances in Materials Science and Engineering,2016
Computers and Chemical Engineering,2019
International Journal of Production Economics,2017
IUP Journal of Supply Chain Management,2019
Alanya Akademik Bakış,2019
Australian Journal of Basic and Applied Sciences,2011
SSRN Electronic Journal,2012
Vestnik Universiteta,2020
International Journal of Agile Systems and Management,2007
Journal of Theoretical and Applied Electronic Commerce Research,2008
Sustainability,2018
Manufacturing Systems,2001
Journal of Food Distribution Research,1996
Information Resources Management Journal,2013
International Journal of Retail and Distribution Management,2020
IEEE Transactions on Engineering Management,2020
Information Development,2020
Energy and Environmental Science,2019
International Journal of Production Research,2016
International Journal of Control and Automation,2019
Journal of Cleaner Production,2019
International Journal of Enterprise Network Management,2008
American Journal of Industrial and Business Management,2016
KnE Social Sciences,2020
Management Science,2000
International Journal of Recent Technology and Engineering,2019
Management Science Letters,2015
Journal of Computational and Theoretical Nanoscience,2015
Engineering,2017
Journal of Global Information Management,2013
Journal of Food Engineering,2005
Master thesis TU Delft,2017
Technology Analysis and Strategic Management,2008
Science Progress,2020
Sensors,2019
Quality Access to Success,2019
SSRN Electronic Journal,2013
World Academy of Engineering and Technology,2010
Supply Chain Management,2007
IEEE Transactions on Engineering Management,2010
International Journal of Environmental Research and Public Health,2019
Global Journal of Flexible Systems Management,2017
Operations and Supply Chain An International Journal,2014
International Journal of Managing Value and Supply Chains,2013
International Journal of Information Systems and Supply Chain Management,2014
Energy Policy,2008
LogForum,2015
Computers and Industrial Engineering,2020
Journal of Management Science and Business Intelligence,2019
Ingenieria e Investigacion,2016
Supply Chain Management,2008
International Journal of Systems Assurance Engineering and Management,2018
Applied Energy,2017
International Journal of Physical Distribution and Logistics Management,2008
International Journal of Environmental Research and Public Health,2019
Journal of Rural Studies,2018
Journal of Construction Engineering and Management,2019
International Journal of Academic Research in Business and Social Sciences,2016
Universal Journal of Industrial and Business Management,2013
Cio,2004
International Journal of Applied Management Science,2020
International Journal of Production Economics,2015
Proceedings of the annual nordic logistics research network conferenc,2016
International Journal of Interactive Mobile Technologies,2020
Journal of Business Economics and Management,2012
Scientific Science,2017
Food Control,2017
Journal of Construction Engineering and Management,2019
Green Chemistry,2014
New Economic Windows,2009
International Journal of Academic Research in Business and Social Sciences,2017
Sustainability,2020
International Journal of Information Systems and Supply Chain Management,2011
International Journal of Production Research,2020
ProQuest,2012
International Journal of Physical Distribution Logistics Management,1999
RISTI Revista Iberica de Sistemas e Tecnologias de Informacao,2020
International Supply Chain Technology Journal,2020
Computers,2019
Amfiteatru Economic,2013
Expert Systems with Applications,2014
Infosys,2017
International Journal of Supply Chain Management,2019
Australian Journal of Basic and Applied Sciences,2014
Projectics Proyéctica Projectique,2019
International Journal of Supply Chain Management,2019
International Journal of Supply Chain Management,2019
Engineering,2000
Journal of Organizational and End User Computing,2017
Annals of Operations Research,2020
Supply Chain An International Journal,2003
Sustainability,2018
European Journal of Operational Research,2020
Sustainability,2018
Procedia Manufacturing,2015
International Journal of Recent Technology and Engineering Special Issue,2019
Poultry World,2018
Energy Policy,2018
International Journal of Environmental Research and Public Health,2019
Procedia Social and Behavioral Sciences,2015
Business Horizons,2004
Scientific Science,2017
International Journal of Supply Chain Management,2019
Emerging Issues in Management,2019
Journal of Manufacturing Science and Transactions of the ASME,2015
Korea Association for International Commerce and Information,2019
Computers and Electronics in Agriculture,2013
Construction and Architectural Management,2020
Industrial Management and Data Systems,2003
Renewable Energy,2018
Iranian Journal of Pharmaceutical Research,2019
Association of Researchers in Construction Management,2001
Information Systems and Management,2020
International Journal of Innovations in Engineering Research and Technology,2014
Sustainability,2020
IEEE International Conference on System of Systems SoSE,2008
Transportation Research Part Logistics and Transportation Review,2020
supply Chain management An International Journal,2007
Sustainability,2017
International Journal of Production Economics,2020
National Academy Science Letters,2020
Automation in Construction,2013
Industrial Marketing Management,2014
Journal of Maritime Transportation Science,2018
SSRN Electronic Journal,2019
Journal of Transport and Supply Chain Management,2020
Computers and Electronics in Agriculture,2005
The Journal of Business Perspective,2010
International Institute for Product and Service Innovation,2017
Journal of Advanced Mechanical Systems and Manufacturing,2020
IEEE Access,2019
Asian Journal on Quality,2012
International Journal of Supply Chain Management,2019
Journal of Manufacturing Technology Management,2020
Material Handling Logistics,2017
Polish Journal of Management Studies,2014
Computers and Industrial Engineering,2015
Production Planning and Control,2016
Philippine Management Review,2015
European Management Journal,2020
IEEE Access,2019
Sustainability,2020
Deloitte,2017
Information and Management,2017
International Journal of Production Research,2019
Computers and Chemical Engineering,2019
International Journal of Information Systems and Supply Chain Management,2013
Supply Chain Management,2016
International Journal of Learning and Development,2012
Computers and Industrial Engineering,2020
International Journal of Production Research,2010
Journal of Chemical and Pharmaceutical Research,2014
International Journal of Agile Systems and Management,2018
Journal of China Universities of Posts and Telecommunications,2015
AIDS,2018
Journal of the Academy of Marketing Science,2010
International Journal of Physical Distribution and Logistics Management,2019
Journal of Cleaner Production,2010
The Journal of Business Perspective,2010
Management Research Review,2011
ACMIT Proceedings,2019
Expert Systems with Applications,2009
International Journal of Integrated Supply Management,2019
international journal of scientific engineering research,2011
International Journal of Information Management,2019
Global Journal of Management and Business Studies,2013
International Conference of System Dynamics Society,2014
Revista Investigaciones of High Andean Research,2015
International Journal of Manufacturing Technology and Management,2000
Journal of International Commerce and Economics,2018
Asia Pacific Management Review,2015
AUTOBUSY Systemy Transportowe,2018
International Journal of Business Excellence,2019
Applied Energy,2016
International Journal of Supply Chain Management,2016
International Journal of Operations and Production Management,2016
International Journal of Supply Chain Management,2020
Journal of Coastal Research,2019
International Journal of Mathematics in Operational Research,2014
Renewable Energy,2016
Development and Sustainability,2020
International Food and Agribusiness Management Review,2014
of Tourism Research,2019
Energy,2017
IEEE Communications Surveys and Tutorials,2019
Open Cybernetics and Systemics Journal,2014
International Journal of Supply Chain Management,2019
Samvad,2016
International Journal of Supply Chain Management,2020
International Journal of Supply Chain Management,2019
International Journal of Supply Chain Management,2017
International Journal of Critical Infrastructure Protection,2016
International Journal of Information Systems and Supply Chain Management,2010
Corporate Social Responsibility and Environmental Management,2018
Journal of Cleaner Production,2019
Journal of Cleaner Production,2018
University of Portsmouth,2017
Expert Systems with Applications,2013
Journal of Technology Management and Innovation,2015
Journal of Modelling in Management,2019
Mathematical Problems in Engineering,2013
International Journal of Logistics Research and Applications,2020
Healthcare informatics the business magazine for information and communication systems,2018
Shipin Science,2020
Journal of Transport and Supply Chain Management,2016
Construction and Architectural Management,2020
Computer Science and Information Systems,2015
Journal of Pharmaceutical Marketing and Management,2006
Universia Business Review,2010
TMSD Intellect Limited International Journal of Technology Management Sustainable Development,2016
European Journal of Purchasing Supply Management,1996
EUROPEAN RESEARCH STUDIES JOURNAL,2019
Pharmaceutical Outsourcing,2018
Food Policy,2018
Expert Systems with Applications,2010
International Journal of Production Economics,2002
International Journal of Industrial Engineering Theory Applications and Practice,2019
Journal of Management Information Systems,2006
Text,1997
Journal of the Operational Research Society,2014
International Journal of Procurement Management,2014
Dissertation Abstracts International Section Humanities and Social Sciences,2012
International Journal of Production Research,2018
Supply Chain Management,2019
Journal of Cleaner Production,2017
Scientometrics,2020
International Journal of Logistics Systems and Management,2014
International Journal of Management and Technology,2014
Business Strategy and the Environment,2020
European Journal of Business and Management ISSN,2015
Materials management in health care,2007
European Journal of Purchasing and Supply Management,2002
Journal of Business and Industrial Marketing,2019
International Journal of Production Research,2013
Proceedings of the EurOMA Conference in,2006
